省份,城市,年,月,日,星期几,最高温度,最低温度,天气,风向,风力
北京,北京,2014,1,1,星期三,10℃,-4℃,晴,无持续风向,微风
北京,北京,2014,1,2,星期四,8℃,-2℃,晴间多云,无持续风向,微风
北京,北京,2014,1,3,星期五,9℃,-5℃,晴间多云,北风,3-4级
北京,北京,2014,1,4,星期六,3℃,-3℃,多云,无持续风向,微风
北京,北京,2014,1,5,星期日,6℃,-4℃,晴,无持续风向,微风
北京,北京,2014,1,6,星期一,2℃,-3℃,阴,无持续风向,微风
北京,北京,2014,1,7,星期二,6℃,-5℃,多云间晴,北风,3-4级
北京,北京,2014,1,8,星期三,0℃,-9℃,晴间多云,北风,3-4级
北京,北京,2014,1,9,星期四,1℃,-9℃,晴,无持续风向,微风
北京,北京,2014,1,10,星期五,4℃,-8℃,晴,无持续风向,微风
北京,北京,2014,1,11,星期六,4℃,-5℃,晴间多云,无持续风向,微风
北京,北京,2014,1,12,星期日,2℃,-9℃,晴,无持续风向,微风
北京,北京,2014,1,13,星期一,2℃,-7℃,晴间多云,无持续风向,微风
北京,北京,2014,1,14,星期二,4℃,-7℃,晴间多云,无持续风向,微风
北京,北京,2014,1,15,星期三,3℃,-4℃,晴转多云,无持续风向,微风
北京,北京,2014,1,16,星期四,5℃,-4℃,多云,无持续风向,微风
北京,北京,2014,1,17,星期五,4℃,-6℃,多云转晴,北风,3-4级
北京,北京,2014,1,18,星期六,6℃,-4℃,晴间多云,无持续风向,微风
北京,北京,2014,1,19,星期日,6℃,-4℃,阴转晴,北风,4-5级
北京,北京,2014,1,20,星期一,3℃,-5℃,晴,北风,4-5级
北京,北京,2014,1,21,星期二,5℃,-6℃,晴,无持续风向,微风
北京,北京,2014,1,22,星期三,5℃,-4℃,晴间多云,无持续风向,微风
北京,北京,2014,1,23,星期四,4℃,-3℃,多云间晴,无持续风向,微风
北京,北京,2014,1,24,星期五,8℃,-3℃,多云,无持续风向,微风
北京,北京,2014,1,25,星期六,8℃,-5℃,晴间多云,无持续风向,微风
北京,北京,2014,1,26,星期日,4℃,-5℃,晴间多云,无持续风向,微风
北京,北京,2014,1,27,星期一,10℃,-5℃,晴间多云,北风,3-4级
北京,北京,2014,1,28,星期二,6℃,-5℃,晴间多云,南风,3-4级
北京,北京,2014,1,29,星期三,5℃,-2℃,多云间晴,无持续风向,微风
北京,北京,2014,1,30,星期四,7℃,-4℃,晴,无持续风向,微风
北京,北京,2014,1,31,星期五,4℃,-2℃,多云,无持续风向,微风
重庆,重庆,2014,1,1,星期三,9℃,6℃,多云,无持续风向,微风
重庆,重庆,2014,1,2,星期四,8℃,5℃,小雨,无持续风向,微风
重庆,重庆,2014,1,3,星期五,9℃,5℃,阴,无持续风向,微风
重庆,重庆,2014,1,4,星期六,13℃,6℃,晴,无持续风向,微风
重庆,重庆,2014,1,5,星期日,9℃,6℃,阴,无持续风向,微风
重庆,重庆,2014,1,6,星期一,8℃,6℃,小雨,无持续风向,微风
重庆,重庆,2014,1,7,星期二,9℃,6℃,小雨,无持续风向,微风
重庆,重庆,2014,1,8,星期三,8℃,6℃,阴,无持续风向,微风
重庆,重庆,2014,1,9,星期四,8℃,6℃,小雨,无持续风向,微风
重庆,重庆,2014,1,10,星期五,7℃,6℃,小雨,无持续风向,微风
重庆,重庆,2014,1,11,星期六,8℃,6℃,小雨,无持续风向,微风
重庆,重庆,2014,1,12,星期日,8℃,6℃,小雨,无持续风向,微风
重庆,重庆,2014,1,13,星期一,11℃,5℃,阴,无持续风向,微风
重庆,重庆,2014,1,14,星期二,12℃,6℃,雾,无持续风向,微风
重庆,重庆,2014,1,15,星期三,9℃,7℃,阴,无持续风向,微风
重庆,重庆,2014,1,16,星期四,10℃,6℃,小雨,无持续风向,微风
重庆,重庆,2014,1,17,星期五,11℃,5℃,多云,无持续风向,微风
重庆,重庆,2014,1,18,星期六,13℃,6℃,多云,无持续风向,微风
重庆,重庆,2014,1,19,星期日,9℃,6℃,小雨,无持续风向,微风
重庆,重庆,2014,1,20,星期一,13℃,5℃,多云,无持续风向,微风
重庆,重庆,2014,1,21,星期二,16℃,4℃,晴,无持续风向,微风
重庆,重庆,2014,1,22,星期三,16℃,5℃,晴,无持续风向,微风
重庆,重庆,2014,1,23,星期四,15℃,7℃,晴,无持续风向,微风
重庆,重庆,2014,1,24,星期五,15℃,8℃,多云,无持续风向,微风
重庆,重庆,2014,1,25,星期六,16℃,10℃,多云,无持续风向,微风
重庆,重庆,2014,1,26,星期日,15℃,9℃,小雨,无持续风向,微风
重庆,重庆,2014,1,27,星期一,15℃,8℃,多云,无持续风向,微风
重庆,重庆,2014,1,28,星期二,11℃,8℃,小雨,无持续风向,微风
重庆,重庆,2014,1,29,星期三,17℃,5℃,多云,无持续风向,微风
重庆,重庆,2014,1,30,星期四,15℃,9℃,晴,无持续风向,微风
重庆,重庆,2014,1,31,星期五,14℃,9℃,雾,无持续风向,微风
上海,上海,2014,1,1,星期三,14℃,5℃,晴,西风,3-4级
上海,上海,2014,1,2,星期四,16℃,8℃,晴,东南风,3-4级
上海,上海,2014,1,3,星期五,14℃,6℃,多云,北风,3-4级
上海,上海,2014,1,4,星期六,10℃,3℃,多云,西北风,3-4级
上海,上海,2014,1,5,星期日,10℃,5℃,晴,东北风,3-4级
上海,上海,2014,1,6,星期一,11℃,8℃,多云,东南风,3-4级
上海,上海,2014,1,7,星期二,12℃,6℃,小雨,东南风,3-4级
上海,上海,2014,1,8,星期三,8℃,2℃,小雨,西北风,4-5级
上海,上海,2014,1,9,星期四,5℃,0℃,多云,北风,4-5级
上海,上海,2014,1,10,星期五,8℃,4℃,晴,东风,3-4级
上海,上海,2014,1,11,星期六,8℃,4℃,小雨,东风,3-4级
上海,上海,2014,1,12,星期日,7℃,3℃,小雨,北风,3-4级
上海,上海,2014,1,13,星期一,7℃,2℃,多云,北风,3-4级
上海,上海,2014,1,14,星期二,8℃,2℃,多云,东北风,3-4级
上海,上海,2014,1,15,星期三,8℃,3℃,晴,东北风,3-4级
上海,上海,2014,1,16,星期四,10℃,3℃,多云,西北风,3-4级
上海,上海,2014,1,17,星期五,11℃,3℃,晴,西北风,微风
上海,上海,2014,1,18,星期六,9℃,2℃,晴,西北风,3-4级
上海,上海,2014,1,19,星期日,10℃,3℃,晴,东南风,3-4级
上海,上海,2014,1,20,星期一,10℃,1℃,晴,西北风,4-5级
上海,上海,2014,1,21,星期二,6℃,0℃,晴,西北风,4-5级
上海,上海,2014,1,22,星期三,6℃,1℃,晴,北风,3-4级
上海,上海,2014,1,23,星期四,11℃,6℃,晴,南风,3-4级
上海,上海,2014,1,24,星期五,16℃,8℃,晴,南风,4-5级
上海,上海,2014,1,25,星期六,17℃,6℃,多云,西南风,4-5级
上海,上海,2014,1,26,星期日,10℃,4℃,多云,东北风,4-5级
上海,上海,2014,1,27,星期一,13℃,6℃,晴,东南风,3-4级
上海,上海,2014,1,28,星期二,14℃,7℃,多云,东北风,3-4级
上海,上海,2014,1,29,星期三,14℃,8℃,小雨,东南风,3-4级
上海,上海,2014,1,30,星期四,16℃,10℃,多云,南风,3-4级
上海,上海,2014,1,31,星期五,18℃,12℃,晴,东南风,3-4级
天津,天津,2014,1,1,星期三,10℃,0℃,晴,西北风,微风
天津,天津,2014,1,2,星期四,11℃,0℃,霾,西南风,微风
天津,天津,2014,1,3,星期五,8℃,-1℃,多云,东北风,3-4级
天津,天津,2014,1,4,星期六,6℃,-1℃,多云,南风,微风
天津,天津,2014,1,5,星期日,6℃,-1℃,晴,北风,3-4级
天津,天津,2014,1,6,星期一,5℃,0℃,阴,东南风,微风
天津,天津,2014,1,7,星期二,3℃,-4℃,阴,东北风,3-4级
天津,天津,2014,1,8,星期三,0℃,-7℃,晴,北风,3-4级
天津,天津,2014,1,9,星期四,1℃,-5℃,晴,西风,微风
天津,天津,2014,1,10,星期五,3℃,-4℃,晴,西南风,微风
天津,天津,2014,1,11,星期六,4℃,-4℃,多云,西风,微风
天津,天津,2014,1,12,星期日,2℃,-4℃,晴,西南风,微风
天津,天津,2014,1,13,星期一,4℃,-5℃,晴,西南风,微风
天津,天津,2014,1,14,星期二,4℃,-5℃,晴,西风,微风
天津,天津,2014,1,15,星期三,5℃,-3℃,霾,西南风,微风
天津,天津,2014,1,16,星期四,3℃,-3℃,霾,东北风,3-4级
天津,天津,2014,1,17,星期五,2℃,-5℃,阴,西北风,3-4级
天津,天津,2014,1,18,星期六,5℃,-3℃,雾,东南风,3-4级
天津,天津,2014,1,19,星期日,4℃,-4℃,阴,西北风,3-4级
天津,天津,2014,1,20,星期一,2℃,-5℃,晴,西北风,4-5级
天津,天津,2014,1,21,星期二,5℃,-4℃,晴,西南风,3-4级
天津,天津,2014,1,22,星期三,6℃,-3℃,晴,南风,微风
天津,天津,2014,1,23,星期四,8℃,0℃,多云,西南风,微风
天津,天津,2014,1,24,星期五,6℃,0℃,多云,东北风,3-4级
天津,天津,2014,1,25,星期六,5℃,-1℃,晴,东北风,3-4级
天津,天津,2014,1,26,星期日,8℃,-1℃,晴,西南风,3-4级
天津,天津,2014,1,27,星期一,8℃,-2℃,晴,西南风,3-4级
天津,天津,2014,1,28,星期二,5℃,-2℃,晴,南风,微风
天津,天津,2014,1,29,星期三,10℃,0℃,霾,西南风,微风
天津,天津,2014,1,30,星期四,6℃,-1℃,晴,东北风,3-4级
天津,天津,2014,1,31,星期五,6℃,0℃,阴,东风,微风
安徽,合肥,2014,1,1,星期三,17℃,0℃,晴,东风,微风
安徽,合肥,2014,1,2,星期四,17℃,2℃,晴,西南风,3-4级
安徽,合肥,2014,1,3,星期五,13℃,0℃,晴,西风,3-4级
安徽,合肥,2014,1,4,星期六,10℃,0℃,晴,西风,3-4级
安徽,合肥,2014,1,5,星期日,14℃,3℃,晴,东风,微风
安徽,合肥,2014,1,6,星期一,14℃,5℃,多云,东风,3-4级
安徽,合肥,2014,1,7,星期二,7℃,4℃,小雨,西北风,3-4级
安徽,合肥,2014,1,8,星期三,7℃,-1℃,小雨,西北风,3-4级
安徽,合肥,2014,1,9,星期四,6℃,-4℃,晴,东风,3-4级
安徽,合肥,2014,1,10,星期五,8℃,2℃,晴,东南风,微风
安徽,合肥,2014,1,11,星期六,7℃,1℃,雨夹雪,西南风,3-4级
安徽,合肥,2014,1,12,星期日,10℃,1℃,多云,西风,微风
安徽,合肥,2014,1,13,星期一,7℃,-2℃,阴,东风,3-4级
安徽,合肥,2014,1,14,星期二,8℃,-3℃,晴,东风,微风
安徽,合肥,2014,1,15,星期三,8℃,-2℃,多云,东风,3-4级
安徽,合肥,2014,1,16,星期四,10℃,0℃,多云,东南风,微风
安徽,合肥,2014,1,17,星期五,12℃,-2℃,晴,北风,3-4级
安徽,合肥,2014,1,18,星期六,6℃,-1℃,晴,北风,3-4级
安徽,合肥,2014,1,19,星期日,7℃,2℃,多云,西风,3-4级
安徽,合肥,2014,1,20,星期一,9℃,-4℃,晴,北风,微风
安徽,合肥,2014,1,21,星期二,8℃,-5℃,晴,东北风,微风
安徽,合肥,2014,1,22,星期三,10℃,-1℃,晴,东南风,3-4级
安徽,合肥,2014,1,23,星期四,15℃,4℃,晴,东南风,3-4级
安徽,合肥,2014,1,24,星期五,19℃,5℃,多云,西南风,3-4级
安徽,合肥,2014,1,25,星期六,13℃,4℃,多云,北风,微风
安徽,合肥,2014,1,26,星期日,10℃,1℃,多云,东风,3-4级
安徽,合肥,2014,1,27,星期一,15℃,4℃,多云,东风,3-4级
安徽,合肥,2014,1,28,星期二,15℃,5℃,阴,东风,3-4级
安徽,合肥,2014,1,29,星期三,12℃,4℃,小雨,东风,3-4级
安徽,合肥,2014,1,30,星期四,18℃,7℃,雾,东风,3-4级
安徽,合肥,2014,1,31,星期五,21℃,12℃,雾,东风,微风
福建,厦门,2014,1,1,星期三,19℃,9℃,多云,无持续风向,微风
福建,厦门,2014,1,2,星期四,18℃,13℃,阴,无持续风向,微风
福建,厦门,2014,1,3,星期五,20℃,13℃,多云,无持续风向,微风
福建,厦门,2014,1,4,星期六,19℃,10℃,晴,无持续风向,微风
福建,厦门,2014,1,5,星期日,17℃,9℃,多云,无持续风向,微风
福建,厦门,2014,1,6,星期一,18℃,12℃,多云,无持续风向,微风
福建,厦门,2014,1,7,星期二,21℃,15℃,多云,无持续风向,微风
福建,厦门,2014,1,8,星期三,24℃,11℃,阵雨,无持续风向,微风
福建,厦门,2014,1,9,星期四,14℃,8℃,多云,东北风,3-4级
